Phi	Velocity_X	Velocity_Y	Velocity_Z
0.01	0.0042055823439394	0.008145957431593161	1.000045520818339
0.02	0.00943501938327333	0.005586632618601854	1.0019447961857422
0.03	0.005011726717109215	0.004927724535651066	1.0020037558721038
0.04	-0.006980373849092412	-0.008969063720034507	0.9968734096546963
0.05	-0.002272141418729374	-0.0023309587279027877	1.0026518555071702
0.1	-0.005479207086243623	0.0027138702710546064	0.9911063708605155
0.15	0.008166010681758172	0.006175163157448237	0.9982549217957916
0.2	0.009920759417814281	-0.0005145626441644131	0.995895951268805
0.25	-0.0016093263145289527	0.0005181674589408884	1.008567051551726
0.3	0.0055957744305730585	0.0006782500043579399	0.9982518619795976
0.35	-0.006695084630925591	-0.0016019062319006907	1.000526101951357
0.4	0.0020104693054980496	-0.0009140968687143733	0.9926952896841063
0.45	-0.0022494180960546065	-0.00042409748262826295	1.009117202320514
0.5	0.0018896739542904283	-0.0020105145028352853	0.9982883179355158
