Phi	Velocity_X	Velocity_Y	Velocity_Z
0.01	0.009158471885283551	-0.007379730937646256	0.9437704299118427
0.02	0.013200081534683487	-0.008411044761603663	0.8844791366123775
0.03	0.0026357255864161407	-0.005774734289138917	0.837731037962212
0.04	0.00680396419896489	-0.008284039648139816	0.7952932709900914
0.05	0.005852138423199815	-0.006398117891681671	0.752771918758431
0.1	0.005178880002595261	-0.0037061152428817775	0.5966180514676264
0.15	0.010979444438523856	-0.0021260538936543638	0.46350258453283816
0.2	0.0007752496171917156	0.0016718467731173085	0.3599203212079583
0.25	0.004491943627490251	-0.0012523050657890803	0.2826807504655568
0.3	0.00532317534900991	-0.002325221149467445	0.2250277490380736
0.35	0.0030383425964671446	-0.0022741366054080414	0.18482970488849382
0.4	0.00452225962377738	-0.0016801480694194461	0.15475965493141303
0.45	0.004786168180661779	-0.0012493879273885182	0.13566611341051976
0.5	-0.00015372742024278872	0.010383488785996597	0.11970643758046326
